id,area,requirement,verification,status,gate,source
REQ-001,Product,"32 GB usable capacity","SPD decode and OS capacity",DECISION,G0,"Project scope"
REQ-002,Interface,"288-pin DDR5 unbuffered non-ECC x64 UDIMM","Pin-map script and schematic review",ACCESS,G1,"JESD308B; MO-329"
REQ-003,Architecture,"Two independent 32-bit subchannels","Netlist topology test",GENERATE,G2,"JESD79-5D; P1"
REQ-004,Topology,"Rev A uses 2Rx8 with 16 x 16 Gbit unless G1 proves 1Rx8","Decision record and AVL",DECISION,G1,"P2; P5"
REQ-005,Performance,"JEDEC DDR5-6000B 48-48-48 at nominal 1.1 V baseline","SPD decode; SI/PI; platform validation",BLOCKER,G6,"JESD400-5D.01; Micron module numbering"
REQ-006,Fallback,"Safe JEDEC 4800 and 5600 profiles","Cold boot and stress test",GENERATE,G5,"Project requirement"
REQ-007,OC,"XMP and EXPO are optional separate releases","Program evidence and profile manifests",ACCESS,G6,"Intel XMP; AMD EXPO"
REQ-008,DRAM,"Exact order code has full datasheet package model power PCN and traceable samples","Controlled document and procurement review",BLOCKER,G1,"DRAM vendor"
REQ-009,PMIC,"Selected client PMIC supports required current transient voltage and secure programming","Reference design review and rail test",BLOCKER,G1,"JESD301-2 or JESD301-6; vendor"
REQ-010,SPD,"Selected SPD5118 hub has full register package and programming data","Controlled document review",BLOCKER,G1,"JESD300-5B.01; vendor"
REQ-011,Mechanical,"Outline notch card edge and component keepouts follow current controlled standard","Mechanical DRC and fab DFM",BLOCKER,G4,"JESD308B; MO-329; raw card"
REQ-012,PCB,"Fab-approved controlled-impedance 1.27 mm nominal stackup","Field-solver report; coupon TDR",BLOCKER,G4,"Raw card; fab stackup"
REQ-013,SI,"Pre- and post-layout analysis passes 4800 5600 and 6000 PVT corners","Signed SI report and raw files",BLOCKER,G4,"JESD79-5D; raw card; models"
REQ-014,PI,"VDD VDDQ VPP and sideband rails meet DC transient ripple and thermal limits","Simulation and scoped measurements",BLOCKER,G5,"DRAM and PMIC data"
REQ-015,Schematic,"288/288 edge pins and all DRAM balls are machine checked","CI report with zero unexplained errors",GENERATE,G2,"JESD308B; vendor ball map"
REQ-016,DQMap,"SPD DQ map is generated from final netlist","Generator round-trip and independent decode",GENERATE,G5,"JESD400-5D.01"
REQ-017,SPDRelease,"SPD images have validated CRC fallback readback and recoverability","Automated tests and release manifest",GENERATE,G5,"JESD400-5D.01; JESD300-5B.01"
REQ-018,Assembly,"FBGA assembly uses stencil machine placement profiled reflow and MSL control","CM process report",BLOCKER,G5,"J-STD-020F; J-STD-033E; IPC-7095E"
REQ-019,Inspection,"All EVT DRAM bottom-terminated joints receive X-ray inspection","Serialized X-ray report",BLOCKER,G5,"IPC-7095E; assembly plan"
REQ-020,Traceability,"PCB components profiles test logs and rework are linked to module serial number","Traceability audit",GENERATE,G7,"Quality plan"
REQ-021,Validation,"6000 claim passes locked CPU motherboard BIOS slot rank and DPC matrix","Validation database and signed report",BLOCKER,G6,"Validation plan"
REQ-022,Errors,"Release has zero memory miscompare CRC WHEA MCA or corrected errors","Raw log parser and review",VALIDATE,G6,"Validation plan"
REQ-023,Regulatory,"Prototype versus market product scope is explicitly decided","Signed compliance scope",DECISION,G0,"EU and Swedish rules"
REQ-024,Compliance,"Market product has applicable EMC RoHS REACH WEEE GPSR evidence","Technical file and EU DoC as applicable",BLOCKER,G7,"EU Commission; ECHA; Kemi; Naturvardsverket"
REQ-025,Licensing,"Hardware documentation and software licenses are chosen before external contributions","LICENSE files and provenance audit",DECISION,G1,"Project governance"
REQ-026,Copyright,"No licensed standards vendor models or supplied PDFs are publicly redistributed without permission","Repository license scan",VALIDATE,G1,"Source licenses"
REQ-027,Manufacturing,"No material substitution without ECO and renewed technical assessment","Purchase order and change-control audit",GENERATE,G7,"Quality plan"
REQ-028,Qualification,"Product test plan covers declared temperature life and use environment","Approved DVP&R and lab reports",DECISION,G7,"JESD47/JESD22 family; product requirements"
